LoadDateTimeStamp,task_id,RecordSource,description
2019-12-09 13:40:32,1,kaggle,что деревья роняют?
2019-12-09 13:40:32,2,kaggle,листья роняет что?
2019-12-09 13:40:32,3,kaggle,где смотровое окошко имеется?
2019-12-09 13:40:32,4,kaggle,какое окошко имеется сверху?
2019-12-09 13:40:32,5,kaggle,что сверху имеется?
2019-12-09 13:40:32,6,kaggle,добавляется как ассортимент?
2019-12-09 13:40:32,7,kaggle,ассортимент как добавляется?
2019-12-09 13:40:32,8,kaggle,что добавляется постоянно?
2019-12-09 13:40:32,9,kaggle,постоянно добавляется что?
2019-12-09 13:40:32,10,kaggle,Бастер где мчался?
2019-12-09 13:40:32,11,kaggle,встал Эдгар как?
2019-12-09 13:40:32,12,kaggle,какая сиделка ищет работу?
2019-12-09 13:40:32,13,kaggle,что ищет опытная сиделка?
2019-12-09 13:40:32,14,kaggle,ищет кто работу?
2019-12-09 13:40:32,15,kaggle,ищет работу кто?
2019-12-09 13:40:32,16,kaggle,что индивидуально рассчитывается?
2019-12-09 13:40:32,17,kaggle,Шур молчал как?
2019-12-09 13:40:32,18,kaggle,что использовалось немного?
2019-12-09 13:40:32,19,kaggle,что немного использовалось?
2019-12-09 13:40:32,20,kaggle,использовалось что немного?
2019-12-09 13:40:32,21,kaggle,использовалось немного что?
2019-12-09 13:40:32,22,kaggle,материал что предоставляет?
2019-12-09 13:40:32,23,kaggle,предоставляет материал что?
2019-12-09 13:40:32,24,kaggle,транспликатор перебирал что?
2019-12-09 13:40:32,25,kaggle,перебирал что транспликатор?
2019-12-09 13:40:32,26,kaggle,что транспликатор перебирал?
2019-12-09 13:40:32,27,kaggle,капюшон чем пристегивается?
2019-12-09 13:40:32,28,kaggle,затряс Коля чем?
2019-12-09 13:40:32,29,kaggle,затряс чем Коля?
2019-12-09 13:40:32,30,kaggle,затряс головой кто?
2019-12-09 13:40:32,31,kaggle,девочка ищет кого?
2019-12-09 13:40:32,32,kaggle,кто своего кавалера ищет?
2019-12-09 13:40:32,33,kaggle,щенки имеют что?
2019-12-09 13:40:32,34,kaggle,что так обстоит?
2019-12-09 13:40:32,35,kaggle,обстоит что так?
2019-12-09 13:40:32,36,kaggle,так что обстоит?
2019-12-09 13:40:32,37,kaggle,так обстоит что?
2019-12-09 13:40:32,38,kaggle,удлиненная спинка создает что?
2019-12-09 13:40:32,39,kaggle,удлиненная спинка что создает?
2019-12-09 13:40:32,40,kaggle,создает что дополнительное тепло?
2019-12-09 13:40:32,41,kaggle,создает дополнительное тепло что?
2019-12-09 13:40:32,42,kaggle,как приобреталась шапка?
2019-12-09 13:40:32,43,kaggle,приобреталась как шапка?
2019-12-09 13:40:32,44,kaggle,помнил кто Фреда?
2019-12-09 13:40:32,45,kaggle,улыбнулся Коля чему?
2019-12-09 13:40:32,46,kaggle,ищет бригада рабочих что?
2019-12-09 13:40:32,47,kaggle,что ищет подряд?
2019-12-09 13:40:32,48,kaggle,подряд ищет что?
2019-12-09 13:40:32,49,kaggle,что безотказно работает?
2019-12-09 13:40:32,50,kaggle,работает что безотказно?
2019-12-09 13:40:32,51,kaggle,работает безотказно что?
2019-12-09 13:40:32,52,kaggle,безотказно работает что?
2019-12-09 13:40:32,53,kaggle,захлопал глазами кто?
